"customer_unique_id","total_orders","lifetime_value","avg_order_value"
"da122df9eeddfedc1dc1f5349a1a690c",2,7571.63,3785.82
"c8460e4251689ba205045f3ea17884a1",4,4655.91,1163.98
"59d66d72939bc9497e19d89c61a96d5f",2,3559.99,1780.00
"eae0a83d752b1dd32697e0e7b4221656",2,2783.01,1391.51
"d77aa95864ae5b42160937615628723a",2,2450.10,1225.05
"86df00dc5fd68f4dd5d5945ca19f3ed6",3,2400.48,800.16
"7b0eaf68a16e4808e5388c67345033c9",2,2340.08,1170.04
"6ddbc64bd04d40f7768ff088d94cbeb8",2,2299.66,1149.83
"1da09dd64e235e7c2f29a4faff33535c",3,2164.40,721.47
"73601b1eec55943e90ce8d61253d5c09",2,2068.68,1034.34
"906a8a4ec9f3d4c3e64fa6d1c4fe6009",2,2020.86,1010.43
"0341bbd5c969923a0f801b9e2d10a7b8",2,1999.68,999.84
"cef29e793e232d30250331804cdb7000",3,1906.68,635.56
"798c34ffa9047399853eab8ca7c0b9a0",2,1812.19,906.10
"525cda9909aa001ebed396f6e55eae01",2,1782.90,891.45
"4facc2e6fbc2bffab2fea92d2b4aa7e4",4,1760.75,440.19
"397b44d5bb99eabf54ea9c2b41ebb905",4,1756.53,351.31
"a1044dd75b74fbc485b040575a14acf0",2,1737.88,868.94
"5a494c648fde2d1ec4eb614274ea7159",2,1703.38,851.69
"c169c9937db997a267f749cdd64c161f",2,1675.68,837.84
