"order_month","new_customers","returning_customers"
"2016-09-01 00:00:00",1,0
"2016-10-01 00:00:00",262,3
"2016-12-01 00:00:00",1,0
"2017-01-01 00:00:00",717,33
"2017-02-01 00:00:00",1628,25
"2017-03-01 00:00:00",2503,43
"2017-04-01 00:00:00",2256,47
"2017-05-01 00:00:00",3451,95
"2017-06-01 00:00:00",3037,98
"2017-07-01 00:00:00",3752,120
"2017-08-01 00:00:00",4057,136
"2017-09-01 00:00:00",4004,146
"2017-10-01 00:00:00",4328,150
"2017-11-01 00:00:00",7060,229
"2017-12-01 00:00:00",5338,175
"2018-01-01 00:00:00",6842,227
"2018-02-01 00:00:00",6288,267
"2018-03-01 00:00:00",6774,229
"2018-04-01 00:00:00",6582,216
"2018-05-01 00:00:00",6506,243
"2018-06-01 00:00:00",5878,221
"2018-07-01 00:00:00",5949,210
"2018-08-01 00:00:00",6144,207
